WT	WT	WT	S6K1	S6K1	S6K1
WT 1A	WT 2A	WT 3A	S6K1- 4A	S6K1- 5A	S6K1- 6A
0.748620321	0.286524064	0.782759358	1.47773262	1.691101604	0.399914439
0.62059893	0.293839572	0.644983957	1.338737968	1.680128342	0.38284492
0.52915508	0.308470588	0.546224599	1.160727273	1.639893048	0.370652406
0.463315508	0.330417112	0.476727273	0.96686631	1.553326203	0.363336898
0.415764706	0.352363636	0.427957219	0.794951872	1.40457754	0.358459893
0.381625668	0.360898396	0.39259893	0.660834225	1.207058824	0.357240642
0.357240642	0.351144385	0.365775401	0.56573262	0.997347594	0.357240642
0.338951872	0.331636364	0.343828877	0.497454545	0.814459893	0.36455615
0.32797861	0.30968984	0.32797861	0.447465241	0.675465241	0.380406417
0.31944385	0.29140107	0.318224599	0.410887701	0.575486631	0.404791444
0.314566845	0.276770053	0.312128342	0.384064171	0.503550802	0.431614973
0.30968984	0.269454545	0.30968984	0.363336898	0.452342246	0.456
0.307251337	0.263358289	0.30968984	0.348705882	0.413326203	0.465754011
0.303593583	0.259700535	0.313347594	0.338951872	0.386502674	0.449903743
0.302374332	0.257262032	0.323101604	0.332855615	0.368213904	0.413326203
0.307251337	0.258481283	0.33773262	0.32797861	0.358459893	0.373090909
0.31944385	0.260919786	0.35602139	0.324320856	0.352363636	0.340171123
0.342609626	0.265796791	0.375529412	0.31944385	0.347486631	0.318224599
0.373090909	0.271893048	0.391379679	0.317005348	0.343828877	0.303593583
0.40113369	0.285304813	0.397475936	0.31944385	0.341390374	0.295058824
0.414545455	0.308470588	0.388941176	0.329197861	0.343828877	0.292620321
0.403572193	0.340171123	0.365775401	0.347486631	0.357240642	0.292620321
0.373090909	0.371871658	0.336513369	0.373090909	0.387721925	0.297497326
0.33773262	0.393818182	0.308470588	0.395037433	0.431614973	0.310909091
0.304812834	0.399914439	0.290181818	0.402352941	0.476727273	0.334074866
0.28286631	0.391379679	0.279208556	0.391379679	0.504770053	0.368213904
0.268235294	0.376748663	0.273112299	0.368213904	0.502331551	0.413326203
0.260919786	0.362117647	0.271893048	0.342609626	0.471850267	0.462096257
0.256042781	0.351144385	0.271893048	0.321882353	0.427957219	0.501112299
0.254823529	0.342609626	0.274331551	0.307251337	0.387721925	0.51940107
0.256042781	0.33773262	0.280427807	0.297497326	0.358459893	0.514524064
0.259700535	0.335294118	0.29140107	0.29140107	0.33773262	0.488919786
0.265796791	0.334074866	0.308470588	0.287743316	0.324320856	0.456
0.275550802	0.336513369	0.331636364	0.285304813	0.314566845	0.426737968
0.29140107	0.343828877	0.358459893	0.285304813	0.308470588	0.406010695
0.317005348	0.357240642	0.386502674	0.290181818	0.308470588	0.39259893
0.353582888	0.381625668	0.412106952	0.299935829	0.312128342	0.387721925
0.396256684	0.414545455	0.430395722	0.314566845	0.320663102	0.388941176
0.431614973	0.448684492	0.434053476	0.340171123	0.340171123	0.398695187
0.453561497	0.471850267	0.425518717	0.376748663	0.379187166	0.418203209
0.457219251	0.475508021	0.410887701	0.416983957	0.440149733	0.449903743
0.445026738	0.458438503	0.395037433	0.449903743	0.51086631	0.488919786
0.424299465	0.426737968	0.38284492	0.464534759	0.570609626	0.525497326
0.403572193	0.39259893	0.377967914	0.460877005	0.601090909	0.549882353
0.386502674	0.362117647	0.377967914	0.445026738	0.599871658	0.554759358
0.37431016	0.33773262	0.384064171	0.426737968	0.573048128	0.53768984
0.366994652	0.321882353	0.396256684	0.408449198	0.538909091	0.504770053
0.36455615	0.30968984	0.415764706	0.393818182	0.504770053	0.465754011
0.365775401	0.302374332	0.441368984	0.38284492	0.477946524	0.427957219
0.373090909	0.296278075	0.469411765	0.375529412	0.457219251	0.396256684
0.386502674	0.29140107	0.496235294	0.371871658	0.442588235	0.373090909
0.409668449	0.288962567	0.514524064	0.373090909	0.432834225	0.357240642
0.443807487	0.286524064	0.520620321	0.384064171	0.429176471	0.34626738
0.482823529	0.285304813	0.512085561	0.410887701	0.434053476	0.340171123
0.521839572	0.28286631	0.490139037	0.452342246	0.452342246	0.335294118
0.549882353	0.281647059	0.458438503	0.498673797	0.484042781	0.332855615
0.560855615	0.281647059	0.425518717	0.535251337	0.525497326	0.330417112
0.548663102	0.281647059	0.397475936	0.549882353	0.564513369	0.329197861
0.516962567	0.281647059	0.376748663	0.536470588	0.587679144	0.32797861
0.475508021	0.28286631	0.363336898	0.502331551	0.586459893	0.326759358
0.431614973	0.285304813	0.353582888	0.459657754	0.562074866	0.325540107
0.393818182	0.287743316	0.34626738	0.420641711	0.521839572	0.324320856
0.366994652	0.292620321	0.342609626	0.387721925	0.479165775	0.324320856
0.349925134	0.297497326	0.341390374	0.362117647	0.443807487	0.325540107
0.33773262	0.306032086	0.340171123	0.34626738	0.416983957	0.329197861
0.331636364	0.31944385	0.340171123	0.334074866	0.399914439	0.335294118
0.325540107	0.340171123	0.338951872	0.325540107	0.386502674	0.34626738
0.323101604	0.359679144	0.33773262	0.320663102	0.375529412	0.362117647
0.320663102	0.375529412	0.336513369	0.317005348	0.369433155	0.38284492
0.31944385	0.381625668	0.33773262	0.313347594	0.36455615	0.407229947
0.318224599	0.371871658	0.338951872	0.310909091	0.360898396	0.430395722
0.317005348	0.353582888	0.343828877	0.308470588	0.358459893	0.446245989
0.315786096	0.331636364	0.349925134	0.307251337	0.35602139	0.449903743
0.314566845	0.313347594	0.358459893	0.306032086	0.353582888	0.441368984
0.312128342	0.299935829	0.370652406	0.304812834	0.352363636	0.423080214
0.312128342	0.29140107	0.386502674	0.304812834	0.351144385	0.399914439
0.313347594	0.285304813	0.407229947	0.304812834	0.349925134	0.376748663
0.315786096	0.28286631	0.429176471	0.306032086	0.349925134	0.358459893
0.31944385	0.281647059	0.451122995	0.310909091	0.349925134	0.345048128
0.324320856	0.281647059	0.466973262	0.318224599	0.351144385	0.336513369
0.331636364	0.280427807	0.47428877	0.330417112	0.354802139	0.331636364
0.343828877	0.281647059	0.470631016	0.351144385	0.362117647	0.329197861
0.360898396	0.281647059	0.456	0.376748663	0.375529412	0.329197861
0.385283422	0.28286631	0.435272727	0.40113369	0.395037433	0.329197861
0.414545455	0.285304813	0.412106952	0.415764706	0.41942246	0.330417112
0.441368984	0.288962567	0.39259893	0.416983957	0.443807487	0.331636364
0.459657754	0.290181818	0.376748663	0.406010695	0.460877005	0.334074866
0.466973262	0.293839572	0.366994652	0.385283422	0.466973262	0.336513369
0.459657754	0.297497326	0.362117647	0.362117647	0.459657754	0.338951872
0.440149733	0.302374332	0.359679144	0.340171123	0.442588235	0.343828877
0.415764706	0.308470588	0.358459893	0.324320856	0.41942246	0.349925134
0.388941176	0.315786096	0.359679144	0.310909091	0.396256684	0.358459893
0.365775401	0.321882353	0.360898396	0.303593583	0.376748663	0.366994652
0.348705882	0.323101604	0.363336898	0.298716578	0.363336898	0.377967914
0.336513369	0.320663102	0.365775401	0.296278075	0.353582888	0.386502674
0.329197861	0.312128342	0.369433155	0.295058824	0.348705882	0.39259893
0.325540107	0.303593583	0.375529412	0.295058824	0.34626738	0.393818182
0.324320856	0.295058824	0.381625668	0.295058824	0.345048128	0.388941176
0.324320856	0.287743316	0.390160428	0.296278075	0.345048128	0.380406417
0.325540107	0.28286631	0.399914439	0.297497326	0.345048128	0.368213904
0.326759358	0.280427807	0.410887701	0.298716578	0.34626738	0.357240642
0.329197861	0.279208556	0.421860963	0.30115508	0.347486631	0.347486631
0.331636364	0.279208556	0.431614973	0.303593583	0.349925134	0.341390374
0.334074866	0.279208556	0.43771123	0.308470588	0.352363636	0.336513369
0.33773262	0.280427807	0.438930481	0.313347594	0.354802139	0.335294118
0.342609626	0.281647059	0.434053476	0.31944385	0.358459893	0.334074866
0.347486631	0.28286631	0.425518717	0.326759358	0.363336898	0.335294118
0.354802139	0.284085561	0.413326203	0.332855615	0.369433155	0.336513369
0.36455615	0.285304813	0.40113369	0.335294118	0.377967914	0.338951872
0.375529412	0.286524064	0.39259893	0.332855615	0.387721925	0.340171123
0.388941176	0.287743316	0.386502674	0.325540107	0.395037433	0.343828877
0.399914439	0.288962567	0.381625668	0.317005348	0.398695187	0.34626738
0.406010695	0.290181818	0.380406417	0.306032086	0.397475936	0.349925134
0.408449198	0.288962567	0.381625668	0.296278075	0.391379679	0.353582888
0.403572193	0.286524064	0.38284492	0.290181818	0.380406417	0.35602139
0.393818182	0.28286631	0.385283422	0.285304813	0.369433155	0.358459893
0.381625668	0.277989305	0.387721925	0.28286631	0.359679144	0.357240642
0.369433155	0.273112299	0.391379679	0.281647059	0.351144385	0.354802139
0.357240642	0.270673797	0.395037433	0.280427807	0.34626738	0.351144385
0.347486631	0.268235294	0.399914439	0.280427807	0.342609626	0.345048128
0.341390374	0.267016043	0.404791444	0.281647059	0.341390374	0.340171123
0.33773262	0.265796791	0.408449198	0.281647059	0.340171123	0.335294118
0.336513369	0.265796791	0.412106952	0.28286631	0.341390374	0.331636364
0.336513369	0.26457754	0.412106952	0.284085561	0.342609626	0.329197861
0.33773262	0.265796791	0.410887701	0.285304813	0.343828877	0.326759358
0.340171123	0.265796791	0.407229947	0.286524064	0.345048128	0.326759358
0.342609626	0.265796791	0.40113369	0.286524064	0.34626738	0.326759358
0.345048128	0.26457754	0.396256684	0.286524064	0.348705882	0.326759358
0.347486631	0.263358289	0.390160428	0.284085561	0.349925134	0.32797861
0.351144385	0.260919786	0.386502674	0.281647059	0.352363636	0.329197861
0.354802139	0.258481283	0.384064171	0.276770053	0.353582888	0.329197861
0.358459893	0.256042781	0.38284492	0.271893048	0.353582888	0.329197861
0.360898396	0.253604278	0.38284492	0.267016043	0.352363636	0.32797861
0.36455615	0.251165775	0.384064171	0.263358289	0.348705882	0.326759358
0.36455615	0.248727273	0.384064171	0.260919786	0.343828877	0.323101604
0.363336898	0.247508021	0.386502674	0.258481283	0.33773262	0.320663102
0.359679144	0.245069519	0.387721925	0.257262032	0.332855615	0.317005348
0.352363636	0.243850267	0.387721925	0.256042781	0.329197861	0.314566845
0.34626738	0.242631016	0.387721925	0.254823529	0.325540107	0.310909091
0.340171123	0.241411765	0.387721925	0.253604278	0.324320856	0.308470588
0.334074866	0.240192513	0.385283422	0.252385027	0.323101604	0.307251337
0.330417112	0.238973262	0.38284492	0.251165775	0.323101604	0.306032086
0.32797861	0.236534759	0.379187166	0.249946524	0.321882353	0.304812834
0.326759358	0.235315508	0.375529412	0.248727273	0.321882353	0.303593583
0.326759358	0.232877005	0.373090909	0.24628877	0.321882353	0.302374332
0.326759358	0.230438503	0.370652406	0.243850267	0.320663102	0.30115508
0.32797861	0.228	0.368213904	0.241411765	0.31944385	0.299935829
0.32797861	0.226780749	0.366994652	0.238973262	0.318224599	0.297497326
0.32797861	0.224342246	0.365775401	0.235315508	0.315786096	0.295058824
0.32797861	0.221903743	0.36455615	0.232877005	0.314566845	0.292620321
0.32797861	0.219465241	0.362117647	0.230438503	0.310909091	0.290181818
0.326759358	0.218245989	0.360898396	0.229219251	0.307251337	0.287743316
0.324320856	0.215807487	0.359679144	0.226780749	0.304812834	0.285304813
