WT	WT	KO	KO
0.090224396	0.134117952	0.16581777	0.119486893
0.089005144	0.129240947	0.153625257	0.11704839
0.087785893	0.125583193	0.145090497	0.114609888
0.086566642	0.12314469	0.138994241	0.112171385
0.086566642	0.120706187	0.135336487	0.110952134
0.084128139	0.118267684	0.132897984	0.109732882
0.084128139	0.117048433	0.131678733	0.110952134
0.084128139	0.115829182	0.12924023	0.115829139
0.086566642	0.118267684	0.126801727	0.123144647
0.090224396	0.124363941	0.124363225	0.132898658
0.098759155	0.132898701	0.123143973	0.14387192
0.110951668	0.146310465	0.121924722	0.156064433
0.125582684	0.162160733	0.121924722	0.167037695
0.140213701	0.179230251	0.124363225	0.175572455
0.153625465	0.197519021	0.131678733	0.18044946
0.163379476	0.212150037	0.142651995	0.181668711
0.169475733	0.221904048	0.157283011	0.176791706
0.169475733	0.223123299	0.176791032	0.165818444
0.162160225	0.215807791	0.196299053	0.151187428
0.151186963	0.201176775	0.212149321	0.136556412
0.136555947	0.182888005	0.22068408	0.124363898
0.123144182	0.164599235	0.22068408	0.114609888
0.110951668	0.147529717	0.21093007	0.108513631
0.102416909	0.136556455	0.196299053	0.106075128
0.096320652	0.128021695	0.178010283	0.104855877
0.092662898	0.124363941	0.160940765	0.104855877
0.091443647	0.121925439	0.147529	0.104855877
0.092662898	0.120706187	0.137774989	0.106075128
0.09388215	0.121925439	0.131678733	0.10729438
0.095101401	0.124363941	0.12924023	0.110952134
0.096320652	0.128021695	0.128020979	0.115829139
0.098759155	0.132898701	0.128020979	0.121925396
0.102416909	0.14143346	0.12924023	0.130460155
0.109732417	0.151187471	0.130459481	0.138994914
0.118267176	0.162160733	0.131678733	0.147529674
0.129240439	0.175572497	0.135336487	0.15362593
0.141432952	0.187765011	0.140213492	0.158502936
0.151186963	0.197519021	0.146309749	0.159722187
0.158502471	0.202396027	0.156063759	0.157283684
0.162160225	0.203615278	0.168256273	0.151187428
0.163379476	0.198738273	0.182887289	0.142652668
0.158502471	0.188984262	0.195079802	0.134117909
0.151186963	0.178011	0.204833813	0.126802401
0.142652203	0.167037738	0.208491567	0.120706144
0.134117444	0.157283727	0.204833813	0.115829139
0.125582684	0.149968219	0.197518305	0.114609888
0.120705679	0.145091214	0.187764294	0.114609888
0.117047925	0.143871963	0.176791032	0.114609888
0.115828674	0.143871963	0.167037021	0.11704839
0.115828674	0.146310465	0.159721513	0.120706144
0.118267176	0.151187471	0.154844508	0.124363898
0.12192493	0.156064476	0.151186754	0.129240904
0.126801936	0.163379984	0.151186754	0.134117909
0.131678941	0.169476241	0.151186754	0.137775663
0.137775198	0.176791749	0.154844508	0.141433417
0.145090706	0.182888005	0.158502262	0.142652668
0.151186963	0.186545759	0.163379267	0.142652668
0.154844717	0.187765011	0.169475524	0.140214166
0.157283219	0.185326508	0.176791032	0.13533716
0.156063968	0.180449503	0.18410654	0.130460155
0.152406214	0.174353246	0.191422048	0.12558315
0.147529209	0.167037738	0.195079802	0.121925396
0.142652203	0.162160733	0.196299053	0.119486893
0.137775198	0.158502979	0.193860551	0.118267642
0.134117444	0.156064476	0.188983545	0.118267642
0.131678941	0.154845225	0.182887289	0.119486893
0.13045969	0.156064476	0.176791032	0.121925396
0.131678941	0.15972223	0.171914027	0.123144647
0.132898193	0.162160733	0.168256273	0.12558315
0.136555947	0.165818487	0.167037021	0.126802401
0.138994449	0.168256989	0.16581777	0.126802401
0.142652203	0.169476241	0.167037021	0.126802401
0.145090706	0.169476241	0.169475524	0.12558315
0.146309957	0.168256989	0.171914027	0.123144647
0.146309957	0.165818487	0.175571781	0.119486893
0.143871455	0.160941481	0.179229535	0.11704839
0.141432952	0.157283727	0.181668037	0.114609888
0.137775198	0.154845225	0.181668037	0.113390636
0.135336695	0.152406722	0.181668037	0.112171385
0.132898193	0.151187471	0.179229535	0.110952134
0.131678941	0.149968219	0.175571781	0.110952134
0.13045969	0.149968219	0.171914027	0.110952134
0.131678941	0.151187471	0.169475524	0.110952134
0.131678941	0.149968219	0.167037021	0.110952134
0.132898193	0.149968219	0.16581777	0.108513631
0.132898193	0.148748968	0.164598519	0.10729438
0.132898193	0.146310465	0.164598519	0.106075128
0.132898193	0.145091214	0.16581777	0.103636626
0.131678941	0.14143346	0.16581777	0.102417374
0.129240439	0.138994957	0.16581777	0.101198123
0.126801936	0.137775706	0.164598519	0.099978872
0.125582684	0.135337203	0.163379267	0.097540369
0.123144182	0.134117952	0.162160016	0.096321118
0.12192493	0.131679449	0.159721513	0.095101866
0.120705679	0.130460198	0.157283011	0.093882615
0.119486428	0.128021695	0.154844508	0.092663364
0.118267176	0.126802444	0.152406005	0.090224861
0.117047925	0.124363941	0.151186754	0.087786358
0.114609422	0.121925439	0.149967503	0.085347856
0.11217092	0.118267684	0.147529	0.084128604
0.109732417	0.115829182	0.146309749	0.081690102
0.108513166	0.113390679	0.143871246	0.079251599
0.104855412	0.110952176	0.141432743	0.076813096
0.10363616	0.108513674	0.138994241	0.075593845
0.101197658	0.10485592	0.136555738	0.073155342
