WT	WT	WT	KO	KO	KO
0.327978668	0.204833802	0.287743134	0.310908941	0.348705455	0.248727599
0.380406476	0.234095834	0.26579661	0.297497176	0.332855187	0.224342572
0.435272786	0.253603856	0.248727091	0.287743166	0.30847016	0.203615299
0.477946583	0.260919364	0.231657572	0.281646909	0.28042738	0.187765032
0.503550861	0.256042358	0.214588053	0.276769904	0.252384599	0.17679177
0.509647118	0.243849845	0.201176289	0.274331401	0.229218824	0.170695513
0.501112358	0.226780326	0.192641529	0.27311215	0.213368556	0.167037759
0.481604337	0.21214931	0.187764524	0.274331401	0.202395294	0.164599257
0.454780807	0.197518294	0.185326021	0.277989155	0.196299037	0.163380005
0.425518775	0.187764283	0.185326021	0.284085412	0.195079786	0.163380005
0.396256743	0.180448775	0.186545273	0.292620171	0.196299037	0.164599257
0.370652465	0.174352519	0.190203027	0.307251187	0.199956791	0.168257011
0.351144444	0.170694765	0.196299283	0.326759209	0.206053048	0.174353267
0.335294176	0.168256262	0.203614791	0.352363487	0.213368556	0.181668775
0.321882412	0.165817759	0.214588053	0.377967765	0.220684064	0.191422786
0.313347652	0.165817759	0.230438321	0.399914289	0.229218824	0.207273053
0.308470647	0.167037011	0.252384845	0.415764556	0.240192086	0.226781075
0.304812893	0.170694765	0.27555062	0.421860813	0.256042353	0.24994685
0.306032144	0.176791021	0.297497144	0.418203059	0.27189262	0.269454872
0.309689898	0.185325781	0.317005166	0.407229797	0.286523636	0.284085888
0.319443909	0.201176048	0.329197679	0.393818032	0.303593155	0.291401396
0.335294176	0.22068407	0.336513187	0.379187016	0.31700492	0.290182144
0.359679203	0.240192091	0.337732439	0.366994503	0.325539679	0.282866636
0.390160487	0.254823107	0.33041693	0.356021241	0.329197433	0.271893374
0.418203267	0.263357866	0.315785914	0.348705733	0.324320428	0.25848161
0.440149791	0.264577118	0.297497144	0.343828727	0.315785668	0.246289096
0.452342305	0.258480861	0.274331369	0.341390225	0.302373904	0.236535086
0.452342305	0.251165353	0.253604096	0.340170973	0.285304385	0.229219578
0.441369043	0.241411342	0.23897308	0.341390225	0.269454118	0.219465567
0.425518775	0.232876583	0.22921907	0.342609476	0.256042353	0.210930807
0.407230005	0.226780326	0.224342064	0.34626723	0.247507594	0.204834551
0.388941235	0.22068407	0.223122813	0.351144235	0.242630588	0.202396048
0.371871717	0.218245567	0.225561316	0.358459743	0.241411337	0.201176797
0.358459952	0.217026316	0.231657572	0.366994503	0.241411337	0.202396048
0.348705941	0.218245567	0.23897308	0.377967765	0.242630588	0.207273053
0.341390433	0.221903321	0.248727091	0.388941027	0.245069091	0.21336931
0.337732679	0.226780326	0.260919604	0.399914289	0.249946096	0.223123321
0.335294176	0.234095834	0.273112118	0.406010545	0.257261604	0.234096583
0.336513428	0.243849845	0.282866128	0.408449048	0.264577112	0.245069845
0.340171182	0.253603856	0.290181636	0.406010545	0.274331123	0.254823856
0.34748669	0.263357866	0.292620139	0.398695037	0.284085134	0.262139364
0.357240701	0.269454123	0.287743134	0.390160278	0.291400642	0.264577866
0.368213963	0.271892626	0.279208374	0.381625519	0.297496898	0.263358615
0.377967973	0.270673374	0.269454364	0.374310011	0.301154652	0.257262358
0.382844979	0.265796369	0.258481102	0.369433005	0.301154652	0.24994685
0.381625727	0.260919364	0.248727091	0.365775251	0.29871615	0.243850594
0.375529471	0.254823107	0.242630834	0.363336749	0.292619893	0.237754337
0.36577546	0.251165353	0.237753829	0.363336749	0.282865882	0.232877332
0.354802198	0.247507599	0.235315326	0.363336749	0.274331123	0.225561824
0.343828936	0.247507599	0.236534578	0.364556	0.265796364	0.220684818
0.335294176	0.247507599	0.23897308	0.366994503	0.259700107	0.218246316
0.327978668	0.249946102	0.242630834	0.369433005	0.256042353	0.217027064
0.321882412	0.253603856	0.24750784	0.373090759	0.25360385	0.219465567
0.318224658	0.25726161	0.251165594	0.375529262	0.25360385	0.223123321
0.315786155	0.260919364	0.252384845	0.376748513	0.254823102	0.228000326
0.314566904	0.263357866	0.251165594	0.375529262	0.256042353	0.23165808
0.314566904	0.264577118	0.24750784	0.371871508	0.258480856	0.235315834
0.315786155	0.263357866	0.241411583	0.365775251	0.26213861	0.237754337
0.315786155	0.260919364	0.236534578	0.360898246	0.264577112	0.237754337
0.315786155	0.25726161	0.230438321	0.354801989	0.267015615	0.235315834
0.313347652	0.253603856	0.225561316	0.349924984	0.268234866	0.230438829
0.308470647	0.249946102	0.221903561	0.34626723	0.268234866	0.225561824
0.30237439	0.24872685	0.218245807	0.342609476	0.265796364	0.219465567
0.295058882	0.247507599	0.217026556	0.341390225	0.26213861	0.215807813
0.287743374	0.246288348	0.215807305	0.338951722	0.257261604	0.21336931
0.280427866	0.246288348	0.215807305	0.337732471	0.252384599	0.210930807
0.27433161	0.246288348	0.213368802	0.335293968	0.248726845	0.209711556
0.269454604	0.246288348	0.212149551	0.334074717	0.24384984	0.209711556
0.264577599	0.246288348	0.208491797	0.331636214	0.240192086	0.209711556
0.260919845	0.243849845	0.203614791	0.326759209	0.237753583	0.209711556
0.25604284	0.241411342	0.199957037	0.321882203	0.236534332	0.208492305
0.253604337	0.23897284	0.195080032	0.317005198	0.236534332	0.206053802
0.248727332	0.235315086	0.191422278	0.310908941	0.23531508	0.202396048
0.243850326	0.232876583	0.188983775	0.306031936	0.232876578	0.198738294
0.238973321	0.23043808	0.185326021	0.302374182	0.230438075	0.196299791
0.232877064	0.227999578	0.181668267	0.297497176	0.227999572	0.192642037
0.226780807	0.226780326	0.178010513	0.292620171	0.223122567	0.190203535
0.220684551	0.224341824	0.175572011	0.287743166	0.219464813	0.186545781
0.215807545	0.221903321	0.171914257	0.28286616	0.215807059	0.184107278
0.21093054	0.219464818	0.168256503	0.276769904	0.212149305	0.181668775
0.204834283	0.215807064	0.164598749	0.270673647	0.208491551	0.178011021
0.198738027	0.210930059	0.160940995	0.263358139	0.206053048	0.175572519
0.19264177	0.207272305	0.156063989	0.256042631	0.202395294	0.171914765
0.186545513	0.203614551	0.151186984	0.248727123	0.19873754	0.168257011
0.180449257	0.199956797	0.14752923	0.241411615	0.195079786	0.164599257
0.173133749	0.195079791	0.142652225	0.234096107	0.191422032	0.160941503
0.167037492	0.190202786	0.138994471	0.226780599	0.186545027	0.157283749
0.160941235	0.184106529	0.134117465	0.21824584	0.181668021	0.153625995
0.153625727	0.179229524	0.12924046	0.208491829	0.175571765	0.149968241
0.147529471	0.173133267	0.125582706	0.19995707	0.170694759	0.146310487
0.141433214	0.167037011	0.120705701	0.190203059	0.165817754	0.141433481
0.135336957	0.160940754	0.115828695	0.181668299	0.160940749	0.137775727
0.128021449	0.156063749	0.11095169	0.171914289	0.157282995	0.132898722
0.121925193	0.149967492	0.107293936	0.163379529	0.152405989	0.128021717
0.115828936	0.143871235	0.10241693	0.15484477	0.146309733	0.124363963
0.109732679	0.137774979	0.097539925	0.145090759	0.141432727	0.119486957
0.102417171	0.132897973	0.09266292	0.136556	0.136555722	0.114609952
0.097540166	0.126801717	0.089005166	0.128021241	0.131678717	0.110952198
0.091443909	0.12070546	0.08412816	0.119486481	0.12558246	0.106075193
0.085347652	0.115828455	0.079251155	0.110951722	0.120705455	0.101198187
0.079251396	0.109732198	0.075593401	0.103636214	0.114609198	0.096321182
0.073155139	0.104855193	0.070716396	0.096320706	0.108512941	0.091444176
0.068278134	0.099978187	0.06583939	0.089005198	0.103635936	0.086567171
0.062181877	0.095101182	0.060962385	0.08168969	0.09875893	0.081690166
0.05608562	0.089004925	0.05608538	0.075593433	0.092662674	0.07681316
0.051208615	0.08412792	0.051208374	0.069497176	0.087785668	0.071936155
0.04633161	0.078031663	0.046331369	0.064620171	0.081689412	0.06705915
0.041454604	0.071935406	0.041454364	0.058523914	0.076812406	0.060962893
0.036577599	0.067058401	0.036577358	0.052427658	0.071935401	0.056085888
0.032919845	0.060962144	0.032919604	0.047550652	0.067058396	0.052428134
0.02804284	0.056085139	0.02926185	0.042673647	0.063400642	0.047551128
0.024385086	0.049988882	0.026823348	0.039015893	0.058523636	0.042674123
0.020727332	0.045111877	0.024384845	0.034138888	0.053646631	0.039016369
0.017069578	0.040234872	0.020727091	0.030481134	0.048769626	0.035358615
0.014631075	0.036577118	0.018288588	0.02682338	0.045111872	0.031700861
0.012192572	0.032919364	0.015850086	0.023165626	0.040234866	0.028043107
0.00975407	0.028042358	0.013411583	0.019507872	0.036577112	0.024385353
0.007315567	0.025603856	0.01097308	0.014630866	0.032919358	0.020727599
0.006096316	0.021946102	0.008534578	0.012192364	0.029261604	0.017069845
0.004877064	0.018288348	0.006096075	0.00853461	0.026823102	0.013412091
0.003657813	0.014630594	0.003657572	0.006096107	0.023165348	0.009754337
0.002438561	0.01097284	0.002438321	0.003657604	0.020726845	0.007315834
0.00121931	0.008534337	0.002438321	0.001219102	0.017069091	0.00365808
5.88235E-08	0.004876583	0.002438321	-1.49733E-07	0.014630588	0.002438829
0.00121931	0.00243808	0.002438321	-1.49733E-07	0.012192086	0.001219578
0.002438561	0.001218829	-1.81818E-07	0.002438353	0.009753583	3.26203E-07
0.004877064	-4.2246E-07	-1.81818E-07	0.007315358	0.00731508	3.26203E-07
0.007315567	0.001218829	0.00121907	0.015850118	0.006095829	0.00365808
0.00975407	0.00243808	0.003657572	0.01828862	0.003657326	0.009754337
0.012192572	0.00243808	0.008534578	0.019507872	0.001218824	0.014631342
0.017069578	0.003657332	0.012192332	0.025604128	-4.27807E-07	0.019508348
0.01950808	0.006095834	0.014630834	0.030481134	-4.27807E-07	0.020727599
0.021946583	0.009753588	0.018288588	0.035358139	-4.27807E-07	0.020727599
0.029262091	0.013411342	0.026823348	0.047550652	0.002438075	0.024385353
0.039016102	0.014630594	0.035358107	0.057304663	0.008534332	0.025604604
0.042673856	0.015849845	0.042673615	0.057304663	0.013411337	0.031700861
0.04633161	0.02072685	0.048769872	0.053646909	0.021946096	0.047551128
0.051208615	0.02926161	0.052427626	0.057304663	0.029261604	0.057305139
0.05608562	0.034138615	0.05608538	0.062181668	0.031700107	0.057305139
0.062181877	0.035357866	0.062181636	0.067058674	0.032919358	0.057305139
0.065839631	0.034138615	0.06583939	0.067058674	0.03413861	0.062182144
0.069497385	0.037796369	0.067058642	0.08168969	0.037796364	0.063401396
0.069497385	0.041454123	0.073154898	0.117047979	0.042673369	0.069497652
0.068278134	0.045111877	0.117047947	0.163379529	0.053646631	0.097540433
0.068278134	0.051208134	0.176791262	0.098759209	0.059742888	0.131679471
0.070716636	0.071935406	0.119486449	0.003657604	0.060962139	0.137775727
0.093882412	0.119486209	0.031700353	-0.039016193	0.07071615	0.052428134
0.147529471	0.153625246	-0.00731569		0.104855187	-0.004876679
0.196299524	0.069496904			0.145090481	-0.024384701
0.104855674	-4.2246E-07			0.159721497	
0.023165834	-0.026823952			0.068277647	
-0.007315449				0.001218824	
				-0.021946952	
