WT	WT	WT	KO	KO	KO
1	2	3	1	2	3
0.062181417	0.024385107	0.008534877	-0.01341215	0.013412102	0.03779662
0.057304412	0.02682361	0.015850385	-0.008535144	0.054866647	0.039015872
0.153625267	0.107294198	0.151187283	0.091443465	0.286524401	0.140213733
0.412106551	0.36455623	0.436492096	0.364555765	0.564513706	0.398695016
0.632791043	0.605967995	0.662053594	0.613283037	0.754716914	0.640106781
0.775443449	0.76568992	0.807144503	0.774224214	0.875422797	0.80348646
0.869325802	0.870545535	0.903465358	0.879079829	0.959551139	0.909561326
0.94004238	0.947358369	0.974181936	0.954673412	1.025390711	0.987593412
0.997347193	1.008320936	1.032706	1.01685523	1.07903777	1.048555979
1.046117246	1.059529492	1.082695305	1.068063786	1.126588572	1.099764535
1.088791043	1.10342254	1.126588353	1.113176086	1.168043118	1.144876834
1.126587834	1.143657834	1.165604396	1.152192128	1.205839909	1.185112128
1.161946123	1.180235374	1.199743433	1.188769668	1.239978947	1.221689668
1.193646658	1.211935909	1.232663219	1.220470203	1.27046023	1.253390203
1.22290869	1.242417193	1.261925251	1.250951487	1.299722262	1.283871487
1.250951471	1.270459973	1.289968032	1.278994267	1.326545791	1.311914267
1.276555749	1.296064251	1.31557231	1.305817797	1.35215007	1.338737797
1.300940775	1.321668529	1.339957337	1.330202824	1.375315845	1.363122824
1.324106551	1.344834305	1.361903861	1.353368599	1.39848162	1.386288599
1.346053075	1.366780829	1.383850385	1.375315123	1.419208893	1.408235123
1.366780348	1.387508102	1.404577658	1.396042396	1.438716914	1.430181647
1.38750762	1.407016123	1.424085679	1.416769668	1.458224936	1.449689668
1.40579639	1.426524144	1.443593701	1.435058439	1.476513706	1.467978439
1.42408516	1.444812914	1.460663219	1.453347209	1.493583225	1.48748646
1.441154679	1.461882433	1.478951989	1.470416727	1.510652743	1.504555979
1.458224198	1.478951952	1.494802257	1.487486246	1.526503011	1.520406246
1.475293717	1.494802219	1.510652524	1.503336513	1.542353278	1.536256513
1.489924733	1.509433235	1.526502791	1.519186781	1.556984294	1.552106781
1.504555749	1.524064251	1.541133807	1.533817797	1.570396059	1.566737797
1.519186765	1.537476016	1.554545572	1.548448813	1.582588572	1.57893031
1.532598529	1.549668529	1.569176588	1.560641326	1.591123332	1.586245818
1.544791043	1.55942254	1.581369102	1.57283384	1.592342583	1.586245818
1.555764305	1.55942254	1.593561615	1.581368599	1.577711567	1.566737797
1.564299064	1.543572273	1.603315626	1.58258785	1.53503777	1.510652235
1.56917607	1.493582968	1.60697338	1.56429908	1.444813171	1.391165604
1.566737567	1.39482361	1.596000118	1.508213519	1.292406754	1.19608539
1.544791043	1.233882433	1.556984075	1.386288385	1.085134027	0.951015872
1.494801738	1.022951952	1.467978727	1.188769668	0.863230283	0.720577369
1.413111898	0.80226746	1.318010813	0.941261647	0.671807824	0.551101433
1.293625267	0.616941257	1.10586108	0.699849882	0.532813171	0.430395551
1.129026337	0.486481364	0.860791561	0.513304428	0.436492316	0.340170952
0.926630615	0.392599011	0.637668567	0.38772154	0.363337235	0.273112128
0.719357888	0.325540187	0.470631134	0.307250952	0.304813171	0.230438332
0.542566444	0.276770134	0.357240759	0.256042396	0.259700872	0.203614802
0.412106551	0.245069599	0.284085679	0.219464856	0.226781086	0.188983786
0.321881952	0.225561578	0.237754128	0.192641326	0.204834561	0.181668278
0.263357888	0.213369064	0.209711348	0.175571807	0.192642048	0.180449027
0.226780348	0.207272807	0.197518834	0.165817797	0.193861299	0.185326032
0.206053075	0.20971131	0.196299583	0.163379294	0.21215007	0.199957048
0.193860561	0.220684572	0.203615091	0.170694802	0.242631353	0.230438332
0.187764305	0.241411845	0.218246107	0.191422075	0.279208893	0.271892877
0.186545053	0.275550882	0.236534877	0.229218866	0.317005684	0.318224428
0.190202807	0.324320936	0.258481401	0.275550417	0.354802476	0.359678973
0.196299064	0.382845	0.284085679	0.327978225	0.397476273	0.385283251
0.208491578	0.441369064	0.318224717	0.379186781	0.447465578	0.386502503
0.22921885	0.493796872	0.356021508	0.420641326	0.493797128	0.358459722
0.260919385	0.52915516	0.396256802	0.436491594	0.524278412	0.312128171
0.299935428	0.542566925	0.43039584	0.418202824	0.530374668	0.264577369
0.346266979	0.531593663	0.456000118	0.368213519	0.515743652	0.220684321
0.396256283	0.504770134	0.464534877	0.304812449	0.48648162	0.182887529
0.430395321	0.46453484	0.441369102	0.248726888	0.438930818	0.157283251
0.42917607	0.407230027	0.381625786	0.212149348	0.371871995	0.143871487
0.388940775	0.343828957	0.306032203	0.191422075	0.301155417	0.142652235
0.325539706	0.286524144	0.241411882	0.174352556	0.247508358	0.154844749
0.262138636	0.247508102	0.198738086	0.158502289	0.214588572	0.185326032
0.212149332	0.224342326	0.185326321	0.148748278	0.197519053	0.238973091
0.178010294	0.219465321	0.196299583	0.148748278	0.206053813	0.318224428
0.158502273	0.225561578	0.223123112	0.160940791	0.245069856	0.407229775
0.149967513	0.240192594	0.262139155	0.181668064	0.317005684	0.491358118
0.152406016	0.267016123	0.315786214	0.224341861	0.414545791	0.55719769
0.165817781	0.323101684	0.379187283	0.295058439	0.526716914	0.596213733
0.20117607	0.408449278	0.442588353	0.384063786	0.635230283	0.602309989
0.270673396	0.51086639	0.498673914	0.475507636	0.727893385	0.580363465
0.375529011	0.614502754	0.546224717	0.554758973	0.801048465	0.536470417
0.491357888	0.703508102	0.597433273	0.610844535	0.849818519	0.482823358
0.590117246	0.773005428	0.648641829	0.63401031	0.874203545	0.429176299
0.653518316	0.819336979	0.693754128	0.620598545	0.872984294	0.386502503
0.677903342	0.841283503	0.72301616	0.580363251	0.852257021	0.357240471
0.663272326	0.837625749	0.736427925	0.526716193	0.821775738	0.336513198
0.619379278	0.814459973	0.726673914	0.471849882	0.781540444	0.324320684
0.559635963	0.766909171	0.68643862	0.427956834	0.721797128	0.325539936
